epoch,train_loss,valid_loss,accuracy,f1_score
1,4.324023182442306,4.0305982704162595,0.442,0.3814161066599753
2,3.788712905699444,3.569618076324463,0.588,0.5464866342807518
3,3.3560612043357554,3.139710906982422,0.652,0.6171287340110869
4,3.0350396549740566,2.852635524749756,0.696,0.6689463738016369
5,2.768361343957181,2.5240354766845705,0.728,0.7035284159425026
6,2.562227951536679,2.3681826801300048,0.756,0.7343024241840029
7,2.3995048955962033,2.1400093421936037,0.788,0.7728041174511763
8,2.2509720625878793,2.0128402690887452,0.796,0.7813333659804248
9,2.140229068027206,1.8420498275756836,0.804,0.7905805632276219
10,2.043075482215508,1.7816975593566895,0.804,0.7935607497078085
11,1.9739701117389181,1.656320676803589,0.806,0.7945644127114716
12,1.909274495323016,1.5672906732559204,0.83,0.8215607497078085
13,1.8396335141509639,1.5475711441040039,0.828,0.8185065261535849
14,1.794024686625334,1.403987364768982,0.84,0.8303838155308741
15,1.7444373689770805,1.3562305355072022,0.842,0.8333333104803693
16,1.6890998013182843,1.2902522525787354,0.842,0.8340171266641855
17,1.649815134644473,1.3318909130096435,0.838,0.829202552349611
18,1.6066692554735127,1.2408723125457763,0.86,0.8533983010453597
19,1.5920090946075367,1.20888277053833,0.858,0.8530535347005934
20,1.5538062500451815,1.171740758895874,0.864,0.8590704067174655
21,1.522547982193545,1.1382352180480957,0.856,0.8507463973934561
22,1.5001218810902834,1.092670343399048,0.862,0.8559670656141243
23,1.4837215747954828,1.0584883909225464,0.862,0.8559012425483012
24,1.4533531214835345,1.039265043258667,0.864,0.8584653451124038
25,1.448390981403897,1.0354659833908082,0.88,0.874538961038961
26,1.4077154613198564,0.9648255710601806,0.87,0.8650482621953209
27,1.4023226097009671,1.0355449285507201,0.868,0.862250504397563
28,1.3852812001940549,0.9289561824798584,0.866,0.8602703179173767
29,1.3489372908379889,0.9341370601654053,0.876,0.8708959928959927
30,1.3569312634964283,0.931492431640625,0.88,0.8742639027639026
31,1.3300934163745843,0.9233155460357666,0.884,0.879199356199356
32,1.3261610224661897,0.8723955821990966,0.878,0.87214652014652
33,1.3015043790284584,0.8797859172821045,0.878,0.8727234987234985
34,1.2971291201707698,0.8692897510528564,0.876,0.8734501380971967
35,1.2723390667649854,0.8421085033416748,0.886,0.8819872349872349
36,1.2754594818831126,0.80781454372406,0.884,0.8786924741924742
37,1.2312959931280576,0.8383072185516357,0.882,0.8774552669552668
38,1.2457346886864693,0.7860726146697998,0.888,0.8819126984126983
39,1.2283948671559781,0.7951777153015137,0.894,0.8904390609390608
40,1.2166763228830089,0.7856396207809448,0.878,0.8735826395826395
41,1.2173406966814753,0.7832805433273315,0.89,0.8856091131091129
42,1.194961809242581,0.7380845642089844,0.888,0.8839148629148629
43,1.1902023446761356,0.7329830675125122,0.892,0.8884607059607059
44,1.2003169434734313,0.707978304386139,0.892,0.8890566655566654
45,1.174690785126696,0.729509241104126,0.896,0.8930180375180374
46,1.1803227456641627,0.7318357853889466,0.892,0.8868962703962702
47,1.169661894913353,0.7335369062423706,0.894,0.8896291486291484
48,1.1499191057141303,0.693836552619934,0.898,0.8938486513486511
49,1.156447083703354,0.718894199848175,0.892,0.8859664779664779
50,1.1325828177335882,0.6820989656448364,0.898,0.8928593073593072
